Standard / tool	Type of standard / tool	Most cited paper	Paper year	PubMed (cites / yr)	Scholar (cites / yr)	Reported use (\%)
SciPy optimize, ODE solver, etc.	Simulator	\cite{virtanen2020scipy}	2020	87.0	1355.3	
FAIR	Modeling process guidelines	\cite{Wilkinson2016TheStewardship.}	2016	151.6	632.0	
SBML	Modeling language	\cite{Hucka2003TheModels}	2003	49.7	184.8	69.5
COPASI	Modeling application	\cite{Hoops2006COPASI--aSImulator}	2006		151.3	31.7
SBGN	Modeling visualization language	\cite{Novere2009TheNotation}	2009		71.8	2.4
COBRApy	Simulator	\cite{ebrahim2013cobrapy}	2013	22.6	60.8	11.3
BioPAX	Biochemical data manager	\cite{Demir2010TheSharing.}	2010	24.5	56.8	
BioModels	Model repository	\cite{Li2010BioModelsModels}	2010	17.1	52.3	33.3
InChI	Biochemical data standard	\cite{Heller2015InChIIdentifier.}	2015	15.7	41.2	
Pathway Tools	Biochemical data manager	\cite{karp2002pathway}	2002		39.4	
The ontology for biomedical investigations	Ontology	\cite{Bandrowski2016TheInvestigations}	2016		34.9	
Physiome	Model repository	\cite{hunter2003integration}	2003	4.9	32.8	
KiSAO	Ontology	\cite{Courtot2011ControlledBiology.}	2011		24.5	
SBO	Ontology	\cite{Courtot2011ControlledBiology.}	2011		24.5	
Data2Dynamics	Parameter estimation tool	\cite{Raue2015Data2Dynamics:Systems}	2015	7.7	24.1	1.1
BioNetGen	Modeling language	\cite{Harris2016BioNetGenModeling}	2016	8.1	23.9	8.5
SED-ML	Simulation description language	\cite{Waltemath2011ReproducibleLanguage}	2011	8.2	21.1	
JWS Online	Modeling application	\cite{Olivier2004Web-basedOnline}	2004	4.6	20.1	5.4
PySB	Modeling language	\cite{Lopez2013ProgrammingPySB}	2013	6.4	20.0	6.5
CellML	Modeling language	\cite{Cuellar2003AnLanguage}	2003		18.5	7.3
VCell	Modeling application	\cite{moraru2008virtual}	2008	6.0	17.8	2.7
MIASE	Modeling process guidelines	\cite{Waltemath2011MinimumMIASE}	2011	3.2	12.7	
FAIRDOMHub	Model repository	\cite{Wolstencroft2017FAIRDOMHub:Research.}	2017	3.9	12.1	
Memote	Validation tool	\cite{Lieven2018Memote:Suite}	2018		12.1	
PROV	Reproducibility standard	\cite{Moreau2015ThePROV}	2015		11.9	
libRoadRunner	Simulator	\cite{Somogyi2015LibRoadRunner:Library.}	2015	4.7	11.5	5.4
SEEK	Model repository	\cite{Wolstencroft2015SEEK:Platform}	2015	3.1	10.6	3.8
SESSL	Simulation description language	\cite{Ewald2014SESSL:Experiments}	2014	0.0	10.5	
BioLab	Validation tool	\cite{Clarke2008StatisticalPathway}	2008		10.0	
COMBINE	Biochemical data format	\cite{Bergmann2014COMBINEProject}	2014	3.7	9.9	
RightField	Model data annotation tool	\cite{Wolstencroft2011RightField:Spreadsheets}	2011	2.4	8.6	
OpenCOR	Simulator	\cite{garny2015opencor}	2015	2.7	8.5	3.8
MIRIAM	Modeling process guidelines	\cite{Laibe2007MIRIAMBiology.}	2007	3.0	8.0	
PyDREAM	Parameter estimation tool	\cite{Shockley2018PyDREAM:Python}	2018	3.5	7.8	
StochSS	Simulator	\cite{drawert2016stochastic}	2016	2.9	7.2	
SBML-PET	Parameter estimation tool	\cite{Zi2006SBML-PET:Tool}	2006	1.6	7.0	
Tellurium	Modeling application	\cite{Choi2018Tellurium:Biology}	2018	2.0	6.7	4.8
SBRML	Model data annotation tool	\cite{Dada2010SBRML:Models}	2010	1.7	6.2	
SBtab	Biochemical data format	\cite{Lubitz2016SBtab:Biology}	2016	2.0	5.1	
PyBioNetFit	Validation tool	\cite{Mitra2019PyBioNetFitLanguage}	2019	2.6	4.5	
HDF	Data format	\cite{Brown1993SoftwareManagement}	1993		2.6	
SciUnit	Validation tool	\cite{Omar2014CollaborativeValidation}	2014		2.4	
SEPIO	Ontology	\cite{Brush2016SEPIO:Evidence}	2016		1.8	
BpForms and BcForms	Biochemical data format	\cite{Lang2019BpForms:Proteins}	2019		1.3	
ObjTables	Biochemical data format	\cite{karr2020structured}	2020		0.0	
